Year,total_precip,avg_precip,min_precip,max_precip,std_precip,avg_month_precip,Annual_Variation
2061,4398.0,23.192673572487948,6,1016,344.92858285843363,23.192673572487948,-2.179715302491103
2062,4194.0,22.255984658880237,6,1320,393.8826544220315,22.255984658880237,-4.638472032742158
2063,5650.0,30.067447626992955,2,2561,797.0422406204914,30.067447626992955,34.71626132570338
2064,3756.0,19.785635659992582,0,1024,337.55403607826594,19.785635659992582,-33.522123893805315
2065,5388.0,28.772385984427142,3,2325,686.2019315836199,28.772385984427142,43.450479233226844
2066,4807.0,25.43360099184279,0,1979,609.5049344767565,25.43360099184279,-10.783221974758728
2067,5832.0,31.37626877085651,5,2714,852.0622043020098,31.37626877085651,21.323070522155184
2068,4160.0,22.01560182610308,0,1229,378.45411234588954,22.01560182610308,-28.66941015089163
2069,3677.0,19.782594086021508,0,957,300.3696081749142,19.782594086021508,-11.61057692307692
2070,5934.0,31.49836044679273,6,1156,445.7144418081645,31.49836044679273,61.381561055208046
2071,7167.0,37.864594920281796,0,2715,762.8220482345323,37.864594920281796,20.778564206268957
2072,2810.0,14.978674221357062,0,985,299.9935857900157,14.978674221357062,-60.792521278080095
2073,5790.0,30.86310020393029,0,1520,545.2464830448035,30.86310020393029,106.04982206405693
2074,4577.0,24.582811920652578,5,1683,538.4343394312698,24.582811920652578,-20.949913644214156
2075,5296.0,28.862213802373006,0,1899,542.0044168443536,28.862213802373006,15.70897968101377
2076,2124.0,11.308514089729329,0,582,198.47463772024327,11.308514089729329,-59.89425981873111
2077,4633.0,24.856634686688917,2,1095,413.76990934429716,24.856634686688917,118.12617702448209
2078,6462.0,33.98446769558769,0,2026,727.557245482818,33.98446769558769,39.4776602633283
2079,1903.0,10.195257461994808,0,683,207.6940312239632,10.195257461994808,-70.55091303002166
2080,5441.0,29.26665623841305,15,1383,514.9802217443684,29.26665623841305,185.9169732002102
2081,7855.0,41.528544447534294,1,1847,709.8056658926675,41.528544447534294,44.36684433008637
2082,3583.0,18.900045189099,1,1614,474.7007590114646,18.900045189099,-54.38574156588161
2083,6524.0,35.33922529662588,1,2330,700.2879061608529,35.33922529662588,82.08205414457159
2084,4312.0,22.945448646644422,2,1097,394.8768123981161,22.945448646644422,-33.90557939914163
2085,4492.0,23.912194104560626,4,966,328.0840616597391,23.912194104560626,4.174397031539878
2086,3856.0,20.709909158324063,0,873,339.56799649322704,20.709909158324063,-14.158504007123774
2087,3065.0,16.194840331850205,0,911,325.94825532822716,16.194840331850205,-20.513485477178428
2088,4160.0,22.475551538746757,0,1085,358.50861111335144,22.475551538746757,35.72593800978794
2089,6505.0,34.76481970708195,0,1572,610.9147326804784,34.76481970708195,56.370192307692314
2090,4661.0,24.92167802187616,0,1042,367.6639914460765,24.92167802187616,-28.347425057647968
2091,3585.0,19.52988274008157,1,1285,375.0522690845298,19.52988274008157,-23.08517485518129
2092,7944.0,42.33973512235818,0,1729,714.880536745953,42.33973512235818,121.58995815899583
2093,4355.0,23.17316694475343,0,2021,582.1386055404727,23.17316694475343,-45.17875125881168
2094,5380.0,28.482092371153133,0,2432,680.6455937141034,28.482092371153133,23.5361653272101
2095,4816.0,25.44245921394142,2,1586,549.9298026828405,25.44245921394142,-10.483271375464687
2096,2879.0,15.34319961994809,0,675,235.0599375530085,15.34319961994809,-40.22009966777409
2097,2500.0,13.355771459028553,1,577,220.738155590132,13.355771459028553,-13.164293157346297
2098,2944.0,15.654025305895438,0,721,267.03807468848584,15.654025305895438,17.759999999999998
2099,5021.0,26.54735006488691,0,1734,581.6100628011135,26.54735006488691,70.55027173913044
2100,6114.0,32.40046231924361,0,1750,651.4450371010868,32.40046231924361,21.768571997610042
2006,10582.0,55.736234705228036,1,3969,1219.8797879175213,55.736234705228036,
2007,5775.0,31.369276047460136,0,2107,586.8808342724813,31.369276047460136,-45.42619542619543
2008,6021.0,32.581102845754536,0,2288,810.2112098369503,32.581102845754536,4.259740259740252
2009,5592.0,29.464630839822025,1,1955,586.296853138408,29.464630839822025,-7.1250622820129506
2010,3811.0,20.057233731924363,0,821,303.70214425361314,20.057233731924363,-31.849070100143063
2011,5828.0,30.804557146829808,0,2008,632.0439186888163,30.804557146829808,52.925741275255845
2012,5702.0,30.299186596218018,0,1423,459.29349565557226,30.299186596218018,-2.161976664378862
2013,7719.0,41.4299916573971,2,2373,807.4700247743509,41.4299916573971,35.373553139249395
2014,6928.0,37.03367746570263,0,1445,503.52599162548125,37.03367746570263,-10.247441378416887
2015,6242.0,32.97458982202448,0,1803,506.72941198404595,32.97458982202448,-9.901847575057731
2016,9227.0,48.65557795698925,9,3067,906.1577685564206,48.65557795698925,47.82121115027236
2017,6336.0,33.33309580088987,0,1889,636.4748084709887,33.33309580088987,-31.331960550558147
2018,7026.0,37.03149332591769,0,1952,611.138356601098,37.03149332591769,10.890151515151514
2019,10802.0,57.949168057100486,1,3873,1247.053168898827,57.949168057100486,53.74323939652719
2020,8229.0,43.609815304041526,8,2259,807.9429688468679,43.609815304041526,-23.819663025365678
2021,5494.0,29.213275166852057,9,1177,429.5502581100659,29.213275166852057,-33.2361161745048
2022,10621.0,57.634240591397855,0,4118,1226.3939348077897,57.634240591397855,93.31998543866035
2023,3461.0,18.631616147571375,2,1655,453.9774640648893,18.631616147571375,-67.41361453723755
2024,5474.0,29.387148915461626,0,1470,569.9184683847863,29.387148915461626,58.162380814793416
